Epoch [1/80] | Train Loss: 0.0240 | Val Loss: 0.0200 | Val R2: -0.1143 | Val Pearson: -0.1628 | Test Loss: 0.0182 | Test R2: -0.1009 | Test Pearson: -0.1363
Epoch [33/80] | Train Loss: 0.0008 | Val Loss: 0.0081 | Val R2: 0.5529 | Val Pearson: 0.7480 | Test Loss: 0.0076 | Test R2: 0.5382 | Test Pearson: 0.7370
Epoch [34/80] | Train Loss: 0.0007 | Val Loss: 0.0085 | Val R2: 0.5251 | Val Pearson: 0.7262 | Test Loss: 0.0080 | Test R2: 0.5162 | Test Pearson: 0.7186
Epoch [35/80] | Train Loss: 0.0007 | Val Loss: 0.0074 | Val R2: 0.5898 | Val Pearson: 0.7718 | Test Loss: 0.0076 | Test R2: 0.5385 | Test Pearson: 0.7365
Epoch [36/80] | Train Loss: 0.0007 | Val Loss: 0.0089 | Val R2: 0.5043 | Val Pearson: 0.7105 | Test Loss: 0.0083 | Test R2: 0.4993 | Test Pearson: 0.7096
Epoch [37/80] | Train Loss: 0.0006 | Val Loss: 0.0081 | Val R2: 0.5486 | Val Pearson: 0.7452 | Test Loss: 0.0079 | Test R2: 0.5221 | Test Pearson: 0.7281
Epoch [38/80] | Train Loss: 0.0005 | Val Loss: 0.0091 | Val R2: 0.4930 | Val Pearson: 0.7151 | Test Loss: 0.0084 | Test R2: 0.4902 | Test Pearson: 0.7202
Epoch [39/80] | Train Loss: 0.0004 | Val Loss: 0.0084 | Val R2: 0.5321 | Val Pearson: 0.7332 | Test Loss: 0.0076 | Test R2: 0.5383 | Test Pearson: 0.7351
Epoch [40/80] | Train Loss: 0.0004 | Val Loss: 0.0075 | Val R2: 0.5801 | Val Pearson: 0.7634 | Test Loss: 0.0075 | Test R2: 0.5479 | Test Pearson: 0.7405
Epoch [41/80] | Train Loss: 0.0004 | Val Loss: 0.0088 | Val R2: 0.5099 | Val Pearson: 0.7228 | Test Loss: 0.0082 | Test R2: 0.5006 | Test Pearson: 0.7241
Epoch [42/80] | Train Loss: 0.0004 | Val Loss: 0.0086 | Val R2: 0.5247 | Val Pearson: 0.7320 | Test Loss: 0.0079 | Test R2: 0.5220 | Test Pearson: 0.7382
Epoch [43/80] | Train Loss: 0.0004 | Val Loss: 0.0079 | Val R2: 0.5614 | Val Pearson: 0.7517 | Test Loss: 0.0074 | Test R2: 0.5526 | Test Pearson: 0.7463
Epoch [44/80] | Train Loss: 0.0004 | Val Loss: 0.0087 | Val R2: 0.5232 | Val Pearson: 0.7382 | Test Loss: 0.0083 | Test R2: 0.4972 | Test Pearson: 0.7265
Epoch [45/80] | Train Loss: 0.0004 | Val Loss: 0.0085 | Val R2: 0.5352 | Val Pearson: 0.7381 | Test Loss: 0.0077 | Test R2: 0.5305 | Test Pearson: 0.7378
Epoch [46/80] | Train Loss: 0.0003 | Val Loss: 0.0079 | Val R2: 0.5616 | Val Pearson: 0.7562 | Test Loss: 0.0075 | Test R2: 0.5441 | Test Pearson: 0.7442
Epoch [47/80] | Train Loss: 0.0003 | Val Loss: 0.0078 | Val R2: 0.5642 | Val Pearson: 0.7618 | Test Loss: 0.0076 | Test R2: 0.5391 | Test Pearson: 0.7454
Epoch [48/80] | Train Loss: 0.0002 | Val Loss: 0.0077 | Val R2: 0.5698 | Val Pearson: 0.7626 | Test Loss: 0.0074 | Test R2: 0.5520 | Test Pearson: 0.7505
Epoch [49/80] | Train Loss: 0.0002 | Val Loss: 0.0078 | Val R2: 0.5684 | Val Pearson: 0.7678 | Test Loss: 0.0078 | Test R2: 0.5276 | Test Pearson: 0.7438
Epoch [50/80] | Train Loss: 0.0002 | Val Loss: 0.0078 | Val R2: 0.5640 | Val Pearson: 0.7567 | Test Loss: 0.0077 | Test R2: 0.5314 | Test Pearson: 0.7354
Epoch [51/80] | Train Loss: 0.0002 | Val Loss: 0.0075 | Val R2: 0.5818 | Val Pearson: 0.7673 | Test Loss: 0.0075 | Test R2: 0.5451 | Test Pearson: 0.7401
Epoch [52/80] | Train Loss: 0.0002 | Val Loss: 0.0078 | Val R2: 0.5666 | Val Pearson: 0.7609 | Test Loss: 0.0077 | Test R2: 0.5347 | Test Pearson: 0.7381
Epoch [53/80] | Train Loss: 0.0002 | Val Loss: 0.0079 | Val R2: 0.5623 | Val Pearson: 0.7637 | Test Loss: 0.0078 | Test R2: 0.5256 | Test Pearson: 0.7406
Epoch [54/80] | Train Loss: 0.0002 | Val Loss: 0.0073 | Val R2: 0.5918 | Val Pearson: 0.7749 | Test Loss: 0.0074 | Test R2: 0.5526 | Test Pearson: 0.7459
Epoch [55/80] | Train Loss: 0.0001 | Val Loss: 0.0077 | Val R2: 0.5728 | Val Pearson: 0.7624 | Test Loss: 0.0076 | Test R2: 0.5407 | Test Pearson: 0.7389
Epoch [56/80] | Train Loss: 0.0001 | Val Loss: 0.0076 | Val R2: 0.5752 | Val Pearson: 0.7670 | Test Loss: 0.0076 | Test R2: 0.5395 | Test Pearson: 0.7425
Epoch [57/80] | Train Loss: 0.0001 | Val Loss: 0.0076 | Val R2: 0.5771 | Val Pearson: 0.7639 | Test Loss: 0.0075 | Test R2: 0.5459 | Test Pearson: 0.7422
Epoch [58/80] | Train Loss: 0.0001 | Val Loss: 0.0076 | Val R2: 0.5734 | Val Pearson: 0.7657 | Test Loss: 0.0076 | Test R2: 0.5370 | Test Pearson: 0.7403
Epoch [59/80] | Train Loss: 0.0001 | Val Loss: 0.0076 | Val R2: 0.5828 | Val Pearson: 0.7719 | Test Loss: 0.0077 | Test R2: 0.5364 | Test Pearson: 0.7399
Epoch [60/80] | Train Loss: 0.0001 | Val Loss: 0.0076 | Val R2: 0.5783 | Val Pearson: 0.7693 | Test Loss: 0.0077 | Test R2: 0.5338 | Test Pearson: 0.7407
Epoch [61/80] | Train Loss: 0.0001 | Val Loss: 0.0078 | Val R2: 0.5729 | Val Pearson: 0.7649 | Test Loss: 0.0077 | Test R2: 0.5317 | Test Pearson: 0.7351
Epoch [62/80] | Train Loss: 0.0001 | Val Loss: 0.0078 | Val R2: 0.5698 | Val Pearson: 0.7629 | Test Loss: 0.0077 | Test R2: 0.5318 | Test Pearson: 0.7353
Epoch [63/80] | Train Loss: 0.0001 | Val Loss: 0.0075 | Val R2: 0.5816 | Val Pearson: 0.7694 | Test Loss: 0.0075 | Test R2: 0.5443 | Test Pearson: 0.7422
Epoch [64/80] | Train Loss: 0.0001 | Val Loss: 0.0079 | Val R2: 0.5642 | Val Pearson: 0.7607 | Test Loss: 0.0077 | Test R2: 0.5347 | Test Pearson: 0.7405
Epoch [65/80] | Train Loss: 0.0001 | Val Loss: 0.0077 | Val R2: 0.5792 | Val Pearson: 0.7678 | Test Loss: 0.0076 | Test R2: 0.5376 | Test Pearson: 0.7368
Epoch [66/80] | Train Loss: 0.0001 | Val Loss: 0.0077 | Val R2: 0.5745 | Val Pearson: 0.7703 | Test Loss: 0.0077 | Test R2: 0.5323 | Test Pearson: 0.7410
Epoch [67/80] | Train Loss: 0.0001 | Val Loss: 0.0075 | Val R2: 0.5808 | Val Pearson: 0.7699 | Test Loss: 0.0076 | Test R2: 0.5367 | Test Pearson: 0.7376
Epoch [68/80] | Train Loss: 0.0000 | Val Loss: 0.0075 | Val R2: 0.5814 | Val Pearson: 0.7709 | Test Loss: 0.0076 | Test R2: 0.5390 | Test Pearson: 0.7392
Epoch [69/80] | Train Loss: 0.0001 | Val Loss: 0.0076 | Val R2: 0.5747 | Val Pearson: 0.7669 | Test Loss: 0.0077 | Test R2: 0.5320 | Test Pearson: 0.7374
Epoch [70/80] | Train Loss: 0.0000 | Val Loss: 0.0077 | Val R2: 0.5689 | Val Pearson: 0.7648 | Test Loss: 0.0077 | Test R2: 0.5335 | Test Pearson: 0.7396
Epoch [71/80] | Train Loss: 0.0000 | Val Loss: 0.0076 | Val R2: 0.5776 | Val Pearson: 0.7687 | Test Loss: 0.0077 | Test R2: 0.5341 | Test Pearson: 0.7364
Epoch [72/80] | Train Loss: 0.0000 | Val Loss: 0.0076 | Val R2: 0.5728 | Val Pearson: 0.7653 | Test Loss: 0.0076 | Test R2: 0.5411 | Test Pearson: 0.7414
Epoch [73/80] | Train Loss: 0.0000 | Val Loss: 0.0076 | Val R2: 0.5767 | Val Pearson: 0.7678 | Test Loss: 0.0077 | Test R2: 0.5308 | Test Pearson: 0.7340
Epoch [74/80] | Train Loss: 0.0000 | Val Loss: 0.0076 | Val R2: 0.5769 | Val Pearson: 0.7689 | Test Loss: 0.0077 | Test R2: 0.5337 | Test Pearson: 0.7379
Epoch [75/80] | Train Loss: 0.0000 | Val Loss: 0.0076 | Val R2: 0.5748 | Val Pearson: 0.7675 | Test Loss: 0.0077 | Test R2: 0.5355 | Test Pearson: 0.7395
Epoch [76/80] | Train Loss: 0.0000 | Val Loss: 0.0076 | Val R2: 0.5780 | Val Pearson: 0.7689 | Test Loss: 0.0077 | Test R2: 0.5334 | Test Pearson: 0.7362
Epoch [77/80] | Train Loss: 0.0000 | Val Loss: 0.0077 | Val R2: 0.5719 | Val Pearson: 0.7669 | Test Loss: 0.0077 | Test R2: 0.5337 | Test Pearson: 0.7392
Epoch [78/80] | Train Loss: 0.0000 | Val Loss: 0.0075 | Val R2: 0.5801 | Val Pearson: 0.7709 | Test Loss: 0.0076 | Test R2: 0.5369 | Test Pearson: 0.7397
Epoch [79/80] | Train Loss: 0.0000 | Val Loss: 0.0076 | Val R2: 0.5768 | Val Pearson: 0.7689 | Test Loss: 0.0076 | Test R2: 0.5393 | Test Pearson: 0.7411
Epoch [80/80] | Train Loss: 0.0000 | Val Loss: 0.0076 | Val R2: 0.5754 | Val Pearson: 0.7684 | Test Loss: 0.0077 | Test R2: 0.5333 | Test Pearson: 0.7379
Training complete. Best Correlation achieved at Epoch 54 with Pearson Correlation: 0.7749
