Epoch [33/80] | Train Loss: 0.0008 | Val Loss: 0.0114 | Val R2: 0.3621 | Val Pearson: 0.6102 | Test Loss: 0.0094 | Test R2: 0.4302 | Test Pearson: 0.6657
Epoch [34/80] | Train Loss: 0.0007 | Val Loss: 0.0097 | Val R2: 0.4613 | Val Pearson: 0.6984 | Test Loss: 0.0089 | Test R2: 0.4598 | Test Pearson: 0.6897
Epoch [35/80] | Train Loss: 0.0006 | Val Loss: 0.0094 | Val R2: 0.4790 | Val Pearson: 0.7067 | Test Loss: 0.0087 | Test R2: 0.4753 | Test Pearson: 0.6986
Epoch [36/80] | Train Loss: 0.0006 | Val Loss: 0.0093 | Val R2: 0.4855 | Val Pearson: 0.6979 | Test Loss: 0.0098 | Test R2: 0.4072 | Test Pearson: 0.6398
Epoch [37/80] | Train Loss: 0.0005 | Val Loss: 0.0086 | Val R2: 0.5211 | Val Pearson: 0.7377 | Test Loss: 0.0088 | Test R2: 0.4672 | Test Pearson: 0.6904
Epoch [38/80] | Train Loss: 0.0005 | Val Loss: 0.0136 | Val R2: 0.2472 | Val Pearson: 0.5112 | Test Loss: 0.0112 | Test R2: 0.3225 | Test Pearson: 0.5868
Epoch [39/80] | Train Loss: 0.0005 | Val Loss: 0.0094 | Val R2: 0.4779 | Val Pearson: 0.7035 | Test Loss: 0.0093 | Test R2: 0.4388 | Test Pearson: 0.6640
Epoch [40/80] | Train Loss: 0.0004 | Val Loss: 0.0108 | Val R2: 0.4048 | Val Pearson: 0.6535 | Test Loss: 0.0092 | Test R2: 0.4407 | Test Pearson: 0.6748
Epoch [41/80] | Train Loss: 0.0004 | Val Loss: 0.0112 | Val R2: 0.3779 | Val Pearson: 0.6769 | Test Loss: 0.0100 | Test R2: 0.3937 | Test Pearson: 0.6895
Epoch [42/80] | Train Loss: 0.0004 | Val Loss: 0.0091 | Val R2: 0.4992 | Val Pearson: 0.7269 | Test Loss: 0.0090 | Test R2: 0.4531 | Test Pearson: 0.6876
Epoch [43/80] | Train Loss: 0.0003 | Val Loss: 0.0083 | Val R2: 0.5464 | Val Pearson: 0.7484 | Test Loss: 0.0082 | Test R2: 0.5049 | Test Pearson: 0.7144
Epoch [44/80] | Train Loss: 0.0003 | Val Loss: 0.0098 | Val R2: 0.4542 | Val Pearson: 0.7054 | Test Loss: 0.0095 | Test R2: 0.4234 | Test Pearson: 0.6798
Epoch [45/80] | Train Loss: 0.0003 | Val Loss: 0.0086 | Val R2: 0.5198 | Val Pearson: 0.7324 | Test Loss: 0.0080 | Test R2: 0.5148 | Test Pearson: 0.7236
Epoch [46/80] | Train Loss: 0.0003 | Val Loss: 0.0090 | Val R2: 0.4987 | Val Pearson: 0.7204 | Test Loss: 0.0083 | Test R2: 0.4982 | Test Pearson: 0.7133
Epoch [47/80] | Train Loss: 0.0003 | Val Loss: 0.0093 | Val R2: 0.4810 | Val Pearson: 0.7021 | Test Loss: 0.0085 | Test R2: 0.4837 | Test Pearson: 0.7019
Epoch [48/80] | Train Loss: 0.0003 | Val Loss: 0.0090 | Val R2: 0.5107 | Val Pearson: 0.7216 | Test Loss: 0.0080 | Test R2: 0.5172 | Test Pearson: 0.7250
Epoch [49/80] | Train Loss: 0.0003 | Val Loss: 0.0090 | Val R2: 0.5016 | Val Pearson: 0.7432 | Test Loss: 0.0085 | Test R2: 0.4858 | Test Pearson: 0.7169
Epoch [50/80] | Train Loss: 0.0002 | Val Loss: 0.0086 | Val R2: 0.5311 | Val Pearson: 0.7422 | Test Loss: 0.0082 | Test R2: 0.5012 | Test Pearson: 0.7140
Epoch [51/80] | Train Loss: 0.0002 | Val Loss: 0.0085 | Val R2: 0.5373 | Val Pearson: 0.7433 | Test Loss: 0.0083 | Test R2: 0.4985 | Test Pearson: 0.7115
Epoch [52/80] | Train Loss: 0.0002 | Val Loss: 0.0086 | Val R2: 0.5204 | Val Pearson: 0.7386 | Test Loss: 0.0083 | Test R2: 0.4999 | Test Pearson: 0.7177
Epoch [53/80] | Train Loss: 0.0002 | Val Loss: 0.0086 | Val R2: 0.5242 | Val Pearson: 0.7417 | Test Loss: 0.0083 | Test R2: 0.4990 | Test Pearson: 0.7165
Epoch [54/80] | Train Loss: 0.0001 | Val Loss: 0.0086 | Val R2: 0.5200 | Val Pearson: 0.7417 | Test Loss: 0.0081 | Test R2: 0.5107 | Test Pearson: 0.7272
Epoch [55/80] | Train Loss: 0.0001 | Val Loss: 0.0084 | Val R2: 0.5314 | Val Pearson: 0.7430 | Test Loss: 0.0082 | Test R2: 0.5058 | Test Pearson: 0.7192
Epoch [56/80] | Train Loss: 0.0001 | Val Loss: 0.0084 | Val R2: 0.5300 | Val Pearson: 0.7430 | Test Loss: 0.0083 | Test R2: 0.4967 | Test Pearson: 0.7114
Epoch [57/80] | Train Loss: 0.0001 | Val Loss: 0.0088 | Val R2: 0.5152 | Val Pearson: 0.7387 | Test Loss: 0.0082 | Test R2: 0.5058 | Test Pearson: 0.7223
Epoch [58/80] | Train Loss: 0.0001 | Val Loss: 0.0085 | Val R2: 0.5259 | Val Pearson: 0.7387 | Test Loss: 0.0082 | Test R2: 0.5055 | Test Pearson: 0.7175
Epoch [59/80] | Train Loss: 0.0001 | Val Loss: 0.0083 | Val R2: 0.5355 | Val Pearson: 0.7447 | Test Loss: 0.0083 | Test R2: 0.4991 | Test Pearson: 0.7130
Epoch [60/80] | Train Loss: 0.0001 | Val Loss: 0.0084 | Val R2: 0.5352 | Val Pearson: 0.7439 | Test Loss: 0.0081 | Test R2: 0.5091 | Test Pearson: 0.7204
Epoch [61/80] | Train Loss: 0.0001 | Val Loss: 0.0086 | Val R2: 0.5216 | Val Pearson: 0.7400 | Test Loss: 0.0081 | Test R2: 0.5096 | Test Pearson: 0.7243
Epoch [62/80] | Train Loss: 0.0001 | Val Loss: 0.0084 | Val R2: 0.5333 | Val Pearson: 0.7462 | Test Loss: 0.0080 | Test R2: 0.5147 | Test Pearson: 0.7265
Epoch [63/80] | Train Loss: 0.0001 | Val Loss: 0.0087 | Val R2: 0.5310 | Val Pearson: 0.7454 | Test Loss: 0.0080 | Test R2: 0.5169 | Test Pearson: 0.7294
Epoch [64/80] | Train Loss: 0.0001 | Val Loss: 0.0086 | Val R2: 0.5176 | Val Pearson: 0.7366 | Test Loss: 0.0081 | Test R2: 0.5117 | Test Pearson: 0.7253
Epoch [65/80] | Train Loss: 0.0001 | Val Loss: 0.0086 | Val R2: 0.5303 | Val Pearson: 0.7483 | Test Loss: 0.0083 | Test R2: 0.4984 | Test Pearson: 0.7189
Epoch [66/80] | Train Loss: 0.0001 | Val Loss: 0.0087 | Val R2: 0.5191 | Val Pearson: 0.7390 | Test Loss: 0.0082 | Test R2: 0.5019 | Test Pearson: 0.7195
Epoch [67/80] | Train Loss: 0.0001 | Val Loss: 0.0086 | Val R2: 0.5215 | Val Pearson: 0.7389 | Test Loss: 0.0082 | Test R2: 0.5044 | Test Pearson: 0.7204
Epoch [68/80] | Train Loss: 0.0000 | Val Loss: 0.0084 | Val R2: 0.5313 | Val Pearson: 0.7468 | Test Loss: 0.0081 | Test R2: 0.5069 | Test Pearson: 0.7233
Epoch [69/80] | Train Loss: 0.0000 | Val Loss: 0.0085 | Val R2: 0.5248 | Val Pearson: 0.7414 | Test Loss: 0.0082 | Test R2: 0.5039 | Test Pearson: 0.7201
Epoch [70/80] | Train Loss: 0.0000 | Val Loss: 0.0090 | Val R2: 0.5187 | Val Pearson: 0.7418 | Test Loss: 0.0082 | Test R2: 0.5061 | Test Pearson: 0.7255
Epoch [71/80] | Train Loss: 0.0000 | Val Loss: 0.0086 | Val R2: 0.5226 | Val Pearson: 0.7386 | Test Loss: 0.0082 | Test R2: 0.5014 | Test Pearson: 0.7178
Epoch [72/80] | Train Loss: 0.0000 | Val Loss: 0.0087 | Val R2: 0.5160 | Val Pearson: 0.7375 | Test Loss: 0.0082 | Test R2: 0.5038 | Test Pearson: 0.7218
Epoch [73/80] | Train Loss: 0.0000 | Val Loss: 0.0087 | Val R2: 0.5195 | Val Pearson: 0.7399 | Test Loss: 0.0082 | Test R2: 0.5050 | Test Pearson: 0.7231
Epoch [74/80] | Train Loss: 0.0000 | Val Loss: 0.0087 | Val R2: 0.5247 | Val Pearson: 0.7414 | Test Loss: 0.0081 | Test R2: 0.5083 | Test Pearson: 0.7245
Epoch [75/80] | Train Loss: 0.0000 | Val Loss: 0.0085 | Val R2: 0.5288 | Val Pearson: 0.7439 | Test Loss: 0.0081 | Test R2: 0.5091 | Test Pearson: 0.7236
Epoch [76/80] | Train Loss: 0.0000 | Val Loss: 0.0086 | Val R2: 0.5223 | Val Pearson: 0.7410 | Test Loss: 0.0081 | Test R2: 0.5081 | Test Pearson: 0.7251
Epoch [77/80] | Train Loss: 0.0000 | Val Loss: 0.0087 | Val R2: 0.5238 | Val Pearson: 0.7419 | Test Loss: 0.0082 | Test R2: 0.5026 | Test Pearson: 0.7196
Epoch [78/80] | Train Loss: 0.0000 | Val Loss: 0.0086 | Val R2: 0.5206 | Val Pearson: 0.7401 | Test Loss: 0.0081 | Test R2: 0.5088 | Test Pearson: 0.7246
Epoch [79/80] | Train Loss: 0.0000 | Val Loss: 0.0086 | Val R2: 0.5184 | Val Pearson: 0.7377 | Test Loss: 0.0082 | Test R2: 0.5010 | Test Pearson: 0.7188
Epoch [80/80] | Train Loss: 0.0000 | Val Loss: 0.0085 | Val R2: 0.5235 | Val Pearson: 0.7417 | Test Loss: 0.0081 | Test R2: 0.5111 | Test Pearson: 0.7261
Training complete. Best Correlation achieved at Epoch 43 with Pearson Correlation: 0.7484
