Epoch [33/80] | Train Loss: 0.0007 | Val Loss: 0.0079 | Val R2: 0.5641 | Val Pearson: 0.7574 | Test Loss: 0.0093 | Test R2: 0.4369 | Test Pearson: 0.6641
Epoch [34/80] | Train Loss: 0.0006 | Val Loss: 0.0095 | Val R2: 0.4817 | Val Pearson: 0.7194 | Test Loss: 0.0102 | Test R2: 0.3790 | Test Pearson: 0.6310
Epoch [35/80] | Train Loss: 0.0006 | Val Loss: 0.0079 | Val R2: 0.5629 | Val Pearson: 0.7620 | Test Loss: 0.0103 | Test R2: 0.3740 | Test Pearson: 0.6149
Epoch [36/80] | Train Loss: 0.0007 | Val Loss: 0.0076 | Val R2: 0.5829 | Val Pearson: 0.7728 | Test Loss: 0.0090 | Test R2: 0.4532 | Test Pearson: 0.6760
Epoch [37/80] | Train Loss: 0.0006 | Val Loss: 0.0077 | Val R2: 0.5720 | Val Pearson: 0.7644 | Test Loss: 0.0090 | Test R2: 0.4567 | Test Pearson: 0.6758
Epoch [38/80] | Train Loss: 0.0005 | Val Loss: 0.0085 | Val R2: 0.5253 | Val Pearson: 0.7372 | Test Loss: 0.0099 | Test R2: 0.4012 | Test Pearson: 0.6487
Epoch [39/80] | Train Loss: 0.0004 | Val Loss: 0.0075 | Val R2: 0.5849 | Val Pearson: 0.7753 | Test Loss: 0.0089 | Test R2: 0.4628 | Test Pearson: 0.6805
Epoch [40/80] | Train Loss: 0.0004 | Val Loss: 0.0126 | Val R2: 0.3024 | Val Pearson: 0.6060 | Test Loss: 0.0121 | Test R2: 0.2645 | Test Pearson: 0.5704
Epoch [41/80] | Train Loss: 0.0004 | Val Loss: 0.0075 | Val R2: 0.5819 | Val Pearson: 0.7684 | Test Loss: 0.0090 | Test R2: 0.4560 | Test Pearson: 0.6833
Epoch [42/80] | Train Loss: 0.0004 | Val Loss: 0.0081 | Val R2: 0.5498 | Val Pearson: 0.7593 | Test Loss: 0.0091 | Test R2: 0.4496 | Test Pearson: 0.7034
Epoch [43/80] | Train Loss: 0.0004 | Val Loss: 0.0076 | Val R2: 0.5781 | Val Pearson: 0.7734 | Test Loss: 0.0087 | Test R2: 0.4745 | Test Pearson: 0.6906
Epoch [44/80] | Train Loss: 0.0003 | Val Loss: 0.0077 | Val R2: 0.5717 | Val Pearson: 0.7628 | Test Loss: 0.0089 | Test R2: 0.4598 | Test Pearson: 0.6817
