Epoch [33/80] | Train Loss: 0.0008 | Val Loss: 0.0107 | Val R2: 0.3096 | Val Pearson: 0.6042 | Test Loss: 0.0143 | Test R2: 0.3375 | Test Pearson: 0.5820
Epoch [34/80] | Train Loss: 0.0008 | Val Loss: 0.0107 | Val R2: 0.3079 | Val Pearson: 0.6002 | Test Loss: 0.0164 | Test R2: 0.2398 | Test Pearson: 0.4902
Epoch [35/80] | Train Loss: 0.0007 | Val Loss: 0.0096 | Val R2: 0.3756 | Val Pearson: 0.6165 | Test Loss: 0.0154 | Test R2: 0.2860 | Test Pearson: 0.5555
Epoch [36/80] | Train Loss: 0.0006 | Val Loss: 0.0108 | Val R2: 0.3010 | Val Pearson: 0.6039 | Test Loss: 0.0154 | Test R2: 0.2859 | Test Pearson: 0.5350
Epoch [37/80] | Train Loss: 0.0006 | Val Loss: 0.0102 | Val R2: 0.3428 | Val Pearson: 0.6473 | Test Loss: 0.0160 | Test R2: 0.2564 | Test Pearson: 0.5076
Epoch [38/80] | Train Loss: 0.0005 | Val Loss: 0.0099 | Val R2: 0.3593 | Val Pearson: 0.6213 | Test Loss: 0.0152 | Test R2: 0.2975 | Test Pearson: 0.5482
Epoch [39/80] | Train Loss: 0.0005 | Val Loss: 0.0108 | Val R2: 0.2985 | Val Pearson: 0.5679 | Test Loss: 0.0149 | Test R2: 0.3106 | Test Pearson: 0.5621
Epoch [40/80] | Train Loss: 0.0006 | Val Loss: 0.0103 | Val R2: 0.3354 | Val Pearson: 0.6228 | Test Loss: 0.0149 | Test R2: 0.3114 | Test Pearson: 0.5588
Epoch [41/80] | Train Loss: 0.0005 | Val Loss: 0.0097 | Val R2: 0.3713 | Val Pearson: 0.6404 | Test Loss: 0.0141 | Test R2: 0.3482 | Test Pearson: 0.5915
Epoch [42/80] | Train Loss: 0.0004 | Val Loss: 0.0103 | Val R2: 0.3338 | Val Pearson: 0.5913 | Test Loss: 0.0152 | Test R2: 0.2953 | Test Pearson: 0.5503
Epoch [43/80] | Train Loss: 0.0003 | Val Loss: 0.0099 | Val R2: 0.3565 | Val Pearson: 0.5993 | Test Loss: 0.0146 | Test R2: 0.3230 | Test Pearson: 0.5955
Epoch [44/80] | Train Loss: 0.0003 | Val Loss: 0.0110 | Val R2: 0.2873 | Val Pearson: 0.5423 | Test Loss: 0.0169 | Test R2: 0.2170 | Test Pearson: 0.4963
Epoch [45/80] | Train Loss: 0.0004 | Val Loss: 0.0102 | Val R2: 0.3377 | Val Pearson: 0.6089 | Test Loss: 0.0149 | Test R2: 0.3117 | Test Pearson: 0.5626
Epoch [46/80] | Train Loss: 0.0003 | Val Loss: 0.0101 | Val R2: 0.3461 | Val Pearson: 0.6093 | Test Loss: 0.0144 | Test R2: 0.3326 | Test Pearson: 0.5813
Epoch [47/80] | Train Loss: 0.0003 | Val Loss: 0.0102 | Val R2: 0.3400 | Val Pearson: 0.6053 | Test Loss: 0.0143 | Test R2: 0.3375 | Test Pearson: 0.5883
Epoch [48/80] | Train Loss: 0.0003 | Val Loss: 0.0100 | Val R2: 0.3525 | Val Pearson: 0.6120 | Test Loss: 0.0146 | Test R2: 0.3216 | Test Pearson: 0.5758
Epoch [49/80] | Train Loss: 0.0003 | Val Loss: 0.0095 | Val R2: 0.3869 | Val Pearson: 0.6366 | Test Loss: 0.0151 | Test R2: 0.2988 | Test Pearson: 0.5535
Epoch [50/80] | Train Loss: 0.0003 | Val Loss: 0.0097 | Val R2: 0.3696 | Val Pearson: 0.6234 | Test Loss: 0.0146 | Test R2: 0.3254 | Test Pearson: 0.5788
Epoch [51/80] | Train Loss: 0.0002 | Val Loss: 0.0099 | Val R2: 0.3600 | Val Pearson: 0.6309 | Test Loss: 0.0143 | Test R2: 0.3353 | Test Pearson: 0.5801
Epoch [52/80] | Train Loss: 0.0002 | Val Loss: 0.0102 | Val R2: 0.3426 | Val Pearson: 0.6228 | Test Loss: 0.0143 | Test R2: 0.3363 | Test Pearson: 0.5840
Epoch [53/80] | Train Loss: 0.0002 | Val Loss: 0.0099 | Val R2: 0.3579 | Val Pearson: 0.6144 | Test Loss: 0.0144 | Test R2: 0.3318 | Test Pearson: 0.5828
Epoch [54/80] | Train Loss: 0.0002 | Val Loss: 0.0098 | Val R2: 0.3642 | Val Pearson: 0.6352 | Test Loss: 0.0147 | Test R2: 0.3181 | Test Pearson: 0.5668
Epoch [55/80] | Train Loss: 0.0002 | Val Loss: 0.0099 | Val R2: 0.3571 | Val Pearson: 0.6201 | Test Loss: 0.0147 | Test R2: 0.3199 | Test Pearson: 0.5719
Epoch [56/80] | Train Loss: 0.0001 | Val Loss: 0.0097 | Val R2: 0.3721 | Val Pearson: 0.6239 | Test Loss: 0.0147 | Test R2: 0.3182 | Test Pearson: 0.5724
Epoch [57/80] | Train Loss: 0.0001 | Val Loss: 0.0103 | Val R2: 0.3306 | Val Pearson: 0.6195 | Test Loss: 0.0146 | Test R2: 0.3228 | Test Pearson: 0.5719
Epoch [58/80] | Train Loss: 0.0001 | Val Loss: 0.0105 | Val R2: 0.3228 | Val Pearson: 0.6190 | Test Loss: 0.0143 | Test R2: 0.3370 | Test Pearson: 0.5859
Epoch [59/80] | Train Loss: 0.0001 | Val Loss: 0.0099 | Val R2: 0.3582 | Val Pearson: 0.6215 | Test Loss: 0.0144 | Test R2: 0.3312 | Test Pearson: 0.5827
Epoch [60/80] | Train Loss: 0.0001 | Val Loss: 0.0099 | Val R2: 0.3623 | Val Pearson: 0.6193 | Test Loss: 0.0146 | Test R2: 0.3254 | Test Pearson: 0.5819
Epoch [61/80] | Train Loss: 0.0001 | Val Loss: 0.0101 | Val R2: 0.3486 | Val Pearson: 0.6135 | Test Loss: 0.0146 | Test R2: 0.3236 | Test Pearson: 0.5758
Epoch [62/80] | Train Loss: 0.0001 | Val Loss: 0.0097 | Val R2: 0.3747 | Val Pearson: 0.6381 | Test Loss: 0.0145 | Test R2: 0.3265 | Test Pearson: 0.5763
Epoch [63/80] | Train Loss: 0.0001 | Val Loss: 0.0098 | Val R2: 0.3655 | Val Pearson: 0.6274 | Test Loss: 0.0146 | Test R2: 0.3217 | Test Pearson: 0.5740
Epoch [64/80] | Train Loss: 0.0001 | Val Loss: 0.0101 | Val R2: 0.3468 | Val Pearson: 0.6161 | Test Loss: 0.0146 | Test R2: 0.3252 | Test Pearson: 0.5769
Epoch [65/80] | Train Loss: 0.0001 | Val Loss: 0.0099 | Val R2: 0.3622 | Val Pearson: 0.6219 | Test Loss: 0.0148 | Test R2: 0.3124 | Test Pearson: 0.5676
Epoch [66/80] | Train Loss: 0.0001 | Val Loss: 0.0096 | Val R2: 0.3783 | Val Pearson: 0.6362 | Test Loss: 0.0146 | Test R2: 0.3245 | Test Pearson: 0.5771
Epoch [67/80] | Train Loss: 0.0001 | Val Loss: 0.0100 | Val R2: 0.3558 | Val Pearson: 0.6198 | Test Loss: 0.0145 | Test R2: 0.3289 | Test Pearson: 0.5830
Epoch [68/80] | Train Loss: 0.0001 | Val Loss: 0.0097 | Val R2: 0.3704 | Val Pearson: 0.6278 | Test Loss: 0.0147 | Test R2: 0.3173 | Test Pearson: 0.5706
Epoch [69/80] | Train Loss: 0.0001 | Val Loss: 0.0101 | Val R2: 0.3455 | Val Pearson: 0.6131 | Test Loss: 0.0144 | Test R2: 0.3305 | Test Pearson: 0.5839
Epoch [70/80] | Train Loss: 0.0001 | Val Loss: 0.0097 | Val R2: 0.3690 | Val Pearson: 0.6272 | Test Loss: 0.0147 | Test R2: 0.3192 | Test Pearson: 0.5736
Epoch [71/80] | Train Loss: 0.0000 | Val Loss: 0.0097 | Val R2: 0.3701 | Val Pearson: 0.6279 | Test Loss: 0.0147 | Test R2: 0.3195 | Test Pearson: 0.5751
