Epoch [57/300] | Train Loss: 0.0020 | Val Loss: 0.0122 | R2: 0.2822 | Pearson: 0.5688
Epoch [58/300] | Train Loss: 0.0022 | Val Loss: 0.0373 | R2: -1.1678 | Pearson: 0.2165
Epoch [59/300] | Train Loss: 0.0037 | Val Loss: 0.0442 | R2: -1.5969 | Pearson: 0.4065
Epoch [60/300] | Train Loss: 0.0062 | Val Loss: 0.0392 | R2: -1.2870 | Pearson: 0.4021
Epoch [61/300] | Train Loss: 0.0025 | Val Loss: 0.0190 | R2: -0.1130 | Pearson: 0.5614
Epoch [62/300] | Train Loss: 0.0026 | Val Loss: 0.0293 | R2: -0.7259 | Pearson: 0.1752
Epoch [63/300] | Train Loss: 0.0024 | Val Loss: 0.0143 | R2: 0.1623 | Pearson: 0.4557
Epoch [64/300] | Train Loss: 0.0021 | Val Loss: 0.0124 | R2: 0.2880 | Pearson: 0.5896
Epoch [65/300] | Train Loss: 0.0018 | Val Loss: 0.0432 | R2: -1.5220 | Pearson: 0.4575
Epoch [66/300] | Train Loss: 0.0021 | Val Loss: 0.0211 | R2: -0.2351 | Pearson: 0.5549
Epoch [67/300] | Train Loss: 0.0017 | Val Loss: 0.0172 | R2: -0.0060 | Pearson: 0.5902
Epoch [68/300] | Train Loss: 0.0017 | Val Loss: 0.0136 | R2: 0.1918 | Pearson: 0.6034
Epoch [69/300] | Train Loss: 0.0018 | Val Loss: 0.0322 | R2: -0.8828 | Pearson: 0.4189
Epoch [70/300] | Train Loss: 0.0014 | Val Loss: 0.0159 | R2: 0.0677 | Pearson: 0.6103
Epoch [71/300] | Train Loss: 0.0015 | Val Loss: 0.0170 | R2: 0.0279 | Pearson: 0.5976
Epoch [72/300] | Train Loss: 0.0015 | Val Loss: 0.0200 | R2: -0.1835 | Pearson: 0.2762
Epoch [73/300] | Train Loss: 0.0017 | Val Loss: 0.0130 | R2: 0.2279 | Pearson: 0.5249
Epoch [74/300] | Train Loss: 0.0016 | Val Loss: 0.0134 | R2: 0.2180 | Pearson: 0.5270
Epoch [75/300] | Train Loss: 0.0016 | Val Loss: 0.0112 | R2: 0.3463 | Pearson: 0.6325
Epoch [76/300] | Train Loss: 0.0014 | Val Loss: 0.0110 | R2: 0.3512 | Pearson: 0.6226
Epoch [77/300] | Train Loss: 0.0016 | Val Loss: 0.0117 | R2: 0.3275 | Pearson: 0.6153
Epoch [78/300] | Train Loss: 0.0014 | Val Loss: 0.0543 | R2: -2.1595 | Pearson: 0.4886
Epoch [79/300] | Train Loss: 0.0017 | Val Loss: 0.0117 | R2: 0.3127 | Pearson: 0.5761
Epoch [80/300] | Train Loss: 0.0015 | Val Loss: 0.0154 | R2: 0.0875 | Pearson: 0.5600
Epoch [81/300] | Train Loss: 0.0018 | Val Loss: 0.0266 | R2: -0.5520 | Pearson: 0.5535
Epoch [82/300] | Train Loss: 0.0017 | Val Loss: 0.0223 | R2: -0.3144 | Pearson: 0.5838
Epoch [83/300] | Train Loss: 0.0018 | Val Loss: 0.0122 | R2: 0.2876 | Pearson: 0.5722
Epoch [84/300] | Train Loss: 0.0017 | Val Loss: 0.0107 | R2: 0.3720 | Pearson: 0.6248
Epoch [85/300] | Train Loss: 0.0018 | Val Loss: 0.0130 | R2: 0.2333 | Pearson: 0.6069
Epoch [86/300] | Train Loss: 0.0013 | Val Loss: 0.0182 | R2: -0.0752 | Pearson: 0.5766
Epoch [87/300] | Train Loss: 0.0017 | Val Loss: 0.0471 | R2: -1.7671 | Pearson: 0.5267
Epoch [88/300] | Train Loss: 0.0015 | Val Loss: 0.0119 | R2: 0.2961 | Pearson: 0.5976
Epoch [89/300] | Train Loss: 0.0017 | Val Loss: 0.0145 | R2: 0.1492 | Pearson: 0.5270
Epoch [90/300] | Train Loss: 0.0025 | Val Loss: 0.0191 | R2: -0.1279 | Pearson: 0.5147
Epoch [91/300] | Train Loss: 0.0017 | Val Loss: 0.0166 | R2: 0.0334 | Pearson: 0.4069
Epoch [92/300] | Train Loss: 0.0016 | Val Loss: 0.0134 | R2: 0.2078 | Pearson: 0.6266
Epoch [93/300] | Train Loss: 0.0015 | Val Loss: 0.0763 | R2: -3.4551 | Pearson: 0.4681
Epoch [94/300] | Train Loss: 0.0016 | Val Loss: 0.0183 | R2: -0.0668 | Pearson: 0.4744
Epoch [95/300] | Train Loss: 0.0017 | Val Loss: 0.0108 | R2: 0.3820 | Pearson: 0.6314
Epoch [96/300] | Train Loss: 0.0028 | Val Loss: 0.0122 | R2: 0.2809 | Pearson: 0.6186
Epoch [97/300] | Train Loss: 0.0024 | Val Loss: 0.0390 | R2: -1.3031 | Pearson: 0.5152
Epoch [98/300] | Train Loss: 0.0013 | Val Loss: 0.0434 | R2: -1.5624 | Pearson: 0.5301
Epoch [99/300] | Train Loss: 0.0016 | Val Loss: 0.0148 | R2: 0.1256 | Pearson: 0.5449
Epoch [100/300] | Train Loss: 0.0012 | Val Loss: 0.0119 | R2: 0.2994 | Pearson: 0.6212
Epoch [101/300] | Train Loss: 0.0014 | Val Loss: 0.0270 | R2: -0.5933 | Pearson: 0.4385
Epoch [102/300] | Train Loss: 0.0015 | Val Loss: 0.0195 | R2: -0.1413 | Pearson: 0.5280
Epoch [103/300] | Train Loss: 0.0012 | Val Loss: 0.0110 | R2: 0.3655 | Pearson: 0.6149
Epoch [104/300] | Train Loss: 0.0012 | Val Loss: 0.0147 | R2: 0.1374 | Pearson: 0.6084
Epoch [105/300] | Train Loss: 0.0012 | Val Loss: 0.0118 | R2: 0.3190 | Pearson: 0.6170
Epoch [106/300] | Train Loss: 0.0013 | Val Loss: 0.0332 | R2: -0.9518 | Pearson: 0.5272
Epoch [107/300] | Train Loss: 0.0013 | Val Loss: 0.0103 | R2: 0.4017 | Pearson: 0.6408
Epoch [108/300] | Train Loss: 0.0013 | Val Loss: 0.0321 | R2: -0.8673 | Pearson: 0.4509
Epoch [109/300] | Train Loss: 0.0014 | Val Loss: 0.0123 | R2: 0.2771 | Pearson: 0.6290
Epoch [110/300] | Train Loss: 0.0012 | Val Loss: 0.0147 | R2: 0.1652 | Pearson: 0.6124
Epoch [111/300] | Train Loss: 0.0012 | Val Loss: 0.0172 | R2: 0.0066 | Pearson: 0.6203
Epoch [112/300] | Train Loss: 0.0012 | Val Loss: 0.0108 | R2: 0.3648 | Pearson: 0.6174
Epoch [113/300] | Train Loss: 0.0014 | Val Loss: 0.0143 | R2: 0.1526 | Pearson: 0.6282
Epoch [114/300] | Train Loss: 0.0013 | Val Loss: 0.0131 | R2: 0.2350 | Pearson: 0.6072
Epoch [115/300] | Train Loss: 0.0012 | Val Loss: 0.0147 | R2: 0.1353 | Pearson: 0.5780
